filename, language, JSON, JavaScript, TypeScript React, comment, blank, total
/Users/chadwhittaker/Documents/CodeProjects/react-native-apps/Ambit1/src/library/utils/index.js, JavaScript, 0, 211, 0, 42, 39, 292
/Users/chadwhittaker/Documents/CodeProjects/react-native-apps/Ambit1/src/library/utils/lists.js, JavaScript, 0, 387, 0, 136, 9, 532
/Users/chadwhittaker/Documents/CodeProjects/react-native-apps/Ambit1/src/library/utils/types.tsx, TypeScript React, 0, 0, 50, 3, 10, 63
/Users/chadwhittaker/Documents/CodeProjects/react-native-apps/Ambit1/src/screens/main/AccountScreen.js, JavaScript, 0, 23, 0, 2, 7, 32
/Users/chadwhittaker/Documents/CodeProjects/react-native-apps/Ambit1/src/screens/main/CommentScreen.js, JavaScript, 0, 328, 0, 234, 73, 635
/Users/chadwhittaker/Documents/CodeProjects/react-native-apps/Ambit1/src/screens/main/HomeScreen.js, JavaScript, 0, 233, 0, 25, 23, 281
/Users/chadwhittaker/Documents/CodeProjects/react-native-apps/Ambit1/src/screens/main/JobsScreen.js, JavaScript, 0, 17, 0, 1, 5, 23
/Users/chadwhittaker/Documents/CodeProjects/react-native-apps/Ambit1/src/screens/main/MainNavigator.js, JavaScript, 0, 363, 0, 11, 21, 395
/Users/chadwhittaker/Documents/CodeProjects/react-native-apps/Ambit1/src/screens/main/MessagesScreen.js, JavaScript, 0, 23, 0, 2, 7, 32
/Users/chadwhittaker/Documents/CodeProjects/react-native-apps/Ambit1/src/screens/main/MyTopicsScreen.js, JavaScript, 0, 56, 0, 11, 11, 78
/Users/chadwhittaker/Documents/CodeProjects/react-native-apps/Ambit1/src/screens/main/PostScreen.js, JavaScript, 0, 144, 0, 10, 18, 172
/Users/chadwhittaker/Documents/CodeProjects/react-native-apps/Ambit1/src/screens/main/ProfileScreen.js, JavaScript, 0, 42, 0, 4, 14, 60
/Users/chadwhittaker/Documents/CodeProjects/react-native-apps/Ambit1/src/screens/main/SearchScreen.js, JavaScript, 0, 109, 0, 17, 19, 145
/Users/chadwhittaker/Documents/CodeProjects/react-native-apps/Ambit1/src/screens/main/SettingsScreen.js, JavaScript, 0, 23, 0, 2, 7, 32
/Users/chadwhittaker/Documents/CodeProjects/react-native-apps/Ambit1/src/screens/main/SuggestionsScreen.js, JavaScript, 0, 110, 0, 10, 19, 139
/Users/chadwhittaker/Documents/CodeProjects/react-native-apps/Ambit1/src/screens/main/TopicScreen.js, JavaScript, 0, 145, 0, 21, 18, 184
/Users/chadwhittaker/Documents/CodeProjects/react-native-apps/Ambit1/src/screens/main/UpdatePostScreen.js, JavaScript, 0, 131, 0, 7, 14, 152
/Users/chadwhittaker/Documents/CodeProjects/react-native-apps/Ambit1/src/screens/main/UpdateScreen.js, JavaScript, 0, 128, 0, 10, 14, 152
/Users/chadwhittaker/Documents/CodeProjects/react-native-apps/Ambit1/src/screens/main/modals/general/BlankComponent.js, JavaScript, 0, 24, 0, 0, 4, 28
/Users/chadwhittaker/Documents/CodeProjects/react-native-apps/Ambit1/src/screens/main/modals/general/EditLocationModal.js, JavaScript, 0, 159, 0, 4, 17, 180
/Users/chadwhittaker/Documents/CodeProjects/react-native-apps/Ambit1/src/screens/main/modals/general/EditLocationRadiusModal.js, JavaScript, 0, 196, 0, 4, 19, 219
/Users/chadwhittaker/Documents/CodeProjects/react-native-apps/Ambit1/src/screens/main/modals/general/MonthModal.js, JavaScript, 0, 85, 0, 0, 7, 92
/Users/chadwhittaker/Documents/CodeProjects/react-native-apps/Ambit1/src/screens/main/modals/general/YearModal.js, JavaScript, 0, 85, 0, 0, 7, 92
/Users/chadwhittaker/Documents/CodeProjects/react-native-apps/Ambit1/src/screens/main/modals/post/EditPostPopup.js, JavaScript, 0, 154, 0, 0, 8, 162
/Users/chadwhittaker/Documents/CodeProjects/react-native-apps/Ambit1/src/screens/main/modals/post/NewPostModal.js, JavaScript, 0, 515, 0, 31, 39, 585
/Users/chadwhittaker/Documents/CodeProjects/react-native-apps/Ambit1/src/screens/main/modals/post/SelectGoalFieldModal.js, JavaScript, 0, 210, 0, 6, 24, 240
/Users/chadwhittaker/Documents/CodeProjects/react-native-apps/Ambit1/src/screens/main/modals/post/SelectGoalModal.js, JavaScript, 0, 103, 0, 1, 11, 115
/Users/chadwhittaker/Documents/CodeProjects/react-native-apps/Ambit1/src/screens/main/modals/profile/EditAboutModal.js, JavaScript, 0, 66, 0, 0, 10, 76
/Users/chadwhittaker/Documents/CodeProjects/react-native-apps/Ambit1/src/screens/main/modals/profile/EditEducationModal.js, JavaScript, 0, 320, 0, 8, 21, 349
/Users/chadwhittaker/Documents/CodeProjects/react-native-apps/Ambit1/src/screens/main/modals/profile/EditExperienceModal.js, JavaScript, 0, 320, 0, 7, 21, 348
/Users/chadwhittaker/Documents/CodeProjects/react-native-apps/Ambit1/src/screens/main/modals/profile/EditProfileModal.js, JavaScript, 0, 444, 0, 100, 34, 578
